PMID,PubDate,EPubDate,Source,AuthorList,Author,LastAuthor,Title,Volume,Issue,Pages,LangList,Lang,NlmUniqueID,ISSN,ESSN,PubTypeList,PubType,RecordStatus,PubStatus,ArticleIds,pubmed,rid,eid,History,medline,entrez,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
28677262,2017 Oct,2017 Jul 21,Environ Microbiol Rep,Mikaelyan AThompson CLMeuser KZheng HRani PPlarre RBrune A,Mikaelyan A,Brune A,High-resolution phylogenetic analysis of Endomicrobia reveals multiple acquisitions of endosymbiotic lineages by termite gut flagellates.,9,5,477-483,English,English,101499207,"",1758-2229,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2867726210.1111/1758-2229.125652867726228677262,28677262,28677262,28677262,2017/03/22 00:002017/06/09 00:002017/06/21 00:002017/07/06 06:002018/05/25 06:002017/07/06 06:00,2018/05/25 06:00,2017/07/06 06:00,"",1,2,Environmental microbiology reports,doi: 10.1111/1758-2229.12565,2017 Oct;9(5):477-483
28668239,2017 Jul,"",Ann Allergy Asthma Immunol,Nabizadeh EJazani NHBagheri MShahabi S,Nabizadeh E,Shahabi S,Association of altered gut microbiota composition with chronic urticaria.,119,1,48-53,English,English,9503580,1081-1206,1534-4436,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28668239S1081-1206(17)30383-610.1016/j.anai.2017.05.0062866823928668239,28668239,28668239,28668239,2017/03/30 00:002017/05/06 00:002017/07/03 06:002017/07/03 06:002017/08/08 06:00,2017/08/08 06:00,2017/07/03 06:00,"",1,0,"Annals of allergy, asthma & immunology : official publication of the American College of Allergy, Asthma, & Immunology",doi: 10.1016/j.anai.2017.05.006,2017 Jul;119(1):48-53
28665922,2017 Nov,2017 Aug 2,Pediatr Res,Ravi AEstensmo ELFAbée-Lund TMLFoley SLAllgaier BMartin CRClaud ECRudi K,Ravi A,Rudi K,Association of the gut microbiota mobilome with hospital location and birth weight in preterm infants.,82,5,829-838,English,English,0100714,0031-3998,1530-0447,Journal ArticleMulticenter Study,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28665922pr201714610.1038/pr.2017.1462866592228665922,28665922,28665922,28665922,2016/08/05 00:002017/06/04 00:002017/07/01 06:002018/06/12 06:002017/07/01 06:00,2018/06/12 06:00,2017/07/01 06:00,"",1,1,Pediatric research,doi: 10.1038/pr.2017.146,2017 Nov;82(5):829-838
28662574,2017 Oct 1,"",Integr Comp Biol,Phillips CDHanson JWilkinson JEKoenig LRees EWebala PKingston T,Phillips CD,Kingston T,Microbiome Structural and Functional Interactions across Host Dietary Niche Space.,57,4,743-755,English,English,101152341,1540-7063,1557-7023,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28662574389646510.1093/icb/icx0112866257428662574,28662574,28662574,28662574,2017/07/01 06:002018/05/05 06:002017/07/01 06:00,2018/05/05 06:00,2017/07/01 06:00,"",1,2,Integrative and comparative biology,doi: 10.1093/icb/icx011,2017 Oct 1;57(4):743-755
28655159,2017 Jul 1,"",Gigascience,He QGao YJie ZYu XLaursen JMXiao LLi YLi LZhang FFeng QLi XYu JLiu CLan PYan TLiu XXu XYang HWang JMadsen LBrix SWang JKristiansen KJia H,He Q,Jia H,Two distinct metacommunities characterize the gut microbiota in Crohn's disease patients.,6,7,1-11,English,English,101596872,"",2047-217X,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28655159388881410.1093/gigascience/gix050PMC56242842865515928655159pmc-id: PMC5624284;,28655159,28655159,28655159,2017/04/17 00:002017/06/21 00:002017/06/29 06:002018/05/24 06:002017/06/29 06:00,2018/05/24 06:00,2017/06/29 06:00,"",1,5,GigaScience,doi: 10.1093/gigascience/gix050,2017 Jul 1;6(7):1-11
28640804,2017 Jun,2017 Jun 22,PLoS Comput Biol,Claussen JCSkiecevičienė JWang JRausch PKarlsen THLieb WBaines JFFranke AHütt MT,Claussen JC,Hütt MT,Boolean analysis reveals systematic interactions among low-abundance species in the human gut microbiome.,13,6,e1005361,English,English,101238922,1553-734X,1553-7358,Journal Article,Journal Article,PubMed - indexed for MEDLINE,"",2864080410.1371/journal.pcbi.1005361PCOMPBIOL-D-16-00816PMC54808272864080428640804pmc-id: PMC5480827;,28640804,28640804,28640804,2016/05/24 00:002017/01/05 00:002017/06/23 06:002017/06/24 06:002017/08/19 06:00,2017/08/19 06:00,2017/06/23 06:00,"",1,3,PLoS computational biology,doi: 10.1371/journal.pcbi.1005361,2017 Jun;13(6):e1005361
28632934,2018 Jan,2017 Aug 2,Allergy,Savage JHLee-Sarwar KASordillo JBunyavanich SZhou YO'Connor GSandel MBacharier LBZeiger RSodergren EWeinstock GMGold DRWeiss STLitonjua AA,Savage JH,Litonjua AA,A prospective microbiome-wide association study of food sensitization and food allergy in early childhood.,73,1,145-152,English,English,7804028,0105-4538,1398-9995,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2863293410.1111/all.13232PMC5921051NIHMS9584792863293428632934pmc-id: PMC5921051;manuscript-id: NIHMS958479;embargo-date: 2019/01/01;,28632934,28632934,28632934,2017/06/13 00:002019/01/01 00:002017/06/21 06:002018/07/10 06:002017/06/21 06:00,2018/07/10 06:00,2017/06/21 06:00,"",1,5,Allergy,doi: 10.1111/all.13232,2018 Jan;73(1):145-152
28628112,2017 Jul,2017 Jun 19,Nat Med,Liu RHong JXu XFeng QZhang DGu YShi JZhao SLiu WWang XXia HLiu ZCui BLiang PXi LJin JYing XWang XZhao XLi WJia HLan ZLi FWang RSun YYang MShen YJie ZLi JChen XZhong HXie HZhang YGu WDeng XShen BXu XYang HXu GBi YLai SWang JQi LMadsen LWang JNing GKristiansen KWang W,Liu R,Wang W,Gut microbiome and serum metabolome alterations in obesity and after weight-loss intervention.,23,7,859-868,English,English,9502015,1078-8956,1546-170X,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28628112nm.435810.1038/nm.43582862811228628112,28628112,28628112,28628112,2016/10/19 00:002017/05/16 00:002017/06/20 06:002017/09/12 06:002017/06/20 06:00,2017/09/12 06:00,2017/06/20 06:00,"",1,40,Nature medicine,doi: 10.1038/nm.4358,2017 Jul;23(7):859-868
28602995,2017 Jul 15,2017 Jun 9,Methods,Wang HZheng HBrowne FRoehe RDewhurst RJEngel FHemmje MLu XWalsh P,Wang H,Walsh P,Integrated metagenomic analysis of the rumen microbiome of cattle reveals key biological mechanisms associated with methane traits.,124,"",108-119,English,English,9426302,1046-2023,1095-9130,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28602995S1046-2023(17)30044-010.1016/j.ymeth.2017.05.0292860299528602995,28602995,28602995,28602995,2017/04/01 00:002017/05/29 00:002017/05/31 00:002017/06/13 06:002018/04/19 06:002017/06/13 06:00,2018/04/19 06:00,2017/06/13 06:00,"",1,0,"Methods (San Diego, Calif.)",doi: 10.1016/j.ymeth.2017.05.029,2017 Jul 15;124:108-119
28594392,2017 Jun 8,2017 Jun 8,Viruses,Manrique PDills MYoung MJ,Manrique P,Young MJ,The Human Gut Phage Community and Its Implications for Health and Disease.,9,6,"",English,English,101509722,"",1999-4915,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,epublish,28594392v906014110.3390/v9060141PMC54908182859439228594392pmc-id: PMC5490818;,28594392,28594392,28594392,2017/04/20 00:002017/05/23 00:002017/06/02 00:002017/06/09 06:002017/06/09 06:002018/03/01 06:00,2018/03/01 06:00,2017/06/09 06:00,"",1,14,Viruses,pii: E141. doi: 10.3390/v9060141,2017 Jun 8;9(6)
28591831,2017 Aug 1,"",J Clin Endocrinol Metab,Blasco GMoreno-Navarrete JMRivero MPérez-Brocal VGarre-Olmo JPuig JDaunis-I-Estadella PBiarnés CGich JFernández-Aranda FAlberich-Bayarri ÁMoya APedraza SRicart WLópez MPortero-Otin MFernandez-Real JM,Blasco G,Fernandez-Real JM,"The Gut Metagenome Changes in Parallel to Waist Circumference, Brain Iron Deposition, and Cognitive Function.",102,8,2962-2973,English,English,0375362,0021-972X,1945-7197,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28591831386192010.1210/jc.2017-001332859183128591831,28591831,28591831,28591831,2017/01/14 00:002017/05/30 00:002017/06/08 06:002017/09/21 06:002017/06/08 06:00,2017/09/21 06:00,2017/06/08 06:00,"",1,3,The Journal of clinical endocrinology and metabolism,doi: 10.1210/jc.2017-00133,2017 Aug 1;102(8):2962-2973
28585938,2017 Sep,2017 Jun 6,ISME J,Borrel GMcCann ADeane JNeto MCLynch DBBrugère JFO'Toole PW,Borrel G,O'Toole PW,Genomics and metagenomics of trimethylamine-utilizing Archaea in the human gut microbiome.,11,9,2059-2074,English,English,101301086,1751-7362,1751-7370,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28585938ismej20177210.1038/ismej.2017.72PMC55639592858593828585938pmc-id: PMC5563959;,28585938,28585938,28585938,2016/09/08 00:002017/04/04 00:002017/04/06 00:002017/06/07 06:002018/01/18 06:002017/06/07 06:00,2018/01/18 06:00,2017/06/07 06:00,"",1,10,The ISME journal,doi: 10.1038/ismej.2017.72,2017 Sep;11(9):2059-2074
28571671,2017 Jun,2017 May 17,EBioMedicine,Millar MSeale JGreenland MHardy PJuszczak EWilks MPanton NCosteloe KWade WG,Millar M,Wade WG,The Microbiome of Infants Recruited to a Randomised Placebo-controlled Probiotic Trial (PiPS Trial).,20,"",255-262,English,English,101647039,"",2352-3964,Journal ArticleMulticenter StudyRandomized Controlled Trial,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28571671S2352-3964(17)30217-710.1016/j.ebiom.2017.05.019PMC54782402857167128571671pmc-id: PMC5478240;,28571671,28571671,28571671,2017/04/12 00:002017/05/07 00:002017/05/15 00:002017/06/03 06:002018/03/27 06:002017/06/03 06:00,2018/03/27 06:00,2017/06/03 06:00,"",1,2,EBioMedicine,doi: 10.1016/j.ebiom.2017.05.019,2017 Jun;20:255-262
28545131,2017,2017 May 18,PLoS One,Gontang EAAylward FOCarlos CGlavina Del Rio TChovatia MFern ALo CCMalfatti SATringe SGCurrie CRKolter R,Gontang EA,Kolter R,Major changes in microbial diversity and community composition across gut sections of a juvenile Panchlora cockroach.,12,5,e0177189,English,English,101285081,"",1932-6203,Journal Article,Journal Article,PubMed - indexed for MEDLINE,"",2854513110.1371/journal.pone.0177189PONE-D-16-21470PMC54366452854513128545131pmc-id: PMC5436645;,28545131,28545131,28545131,2016/05/27 00:002017/04/24 00:002017/05/26 06:002017/05/26 06:002017/09/13 06:00,2017/09/13 06:00,2017/05/26 06:00,"",1,2,PloS one,doi: 10.1371/journal.pone.0177189,2017;12(5):e0177189
28536926,2017 Nov,2017 May 20,Sci China Life Sci,Li WWu XHu XWang TLiang SDuan YJin FQin B,Li W,Qin B,Structural changes of gut microbiota in Parkinson's disease and its correlation with clinical features.,60,11,1223-1233,English,English,101529880,1674-7305,1869-1889,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2853692610.1007/s11427-016-9001-410.1007/s11427-016-9001-42853692628536926,28536926,28536926,28536926,2016/10/14 00:002017/04/16 00:002017/05/26 06:002018/07/12 06:002017/05/25 06:00,2018/07/12 06:00,2017/05/25 06:00,"",1,7,Science China. Life sciences,doi: 10.1007/s11427-016-9001-4,2017 Nov;60(11):1223-1233
28494241,2017 May 10,"",Cell Host Microbe,Ananthakrishnan ANLuo CYajnik VKhalili HGarber JJStevens BWCleland TXavier RJ,Ananthakrishnan AN,Xavier RJ,Gut Microbiome Function Predicts Response to Anti-integrin Biologic Therapy in Inflammatory Bowel Diseases.,21,5,603-610.e3,English,English,101302316,1931-3128,1934-6069,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28494241S1931-3128(17)30156-710.1016/j.chom.2017.04.010PMC5705050NIHMS9192492849424128494241pmc-id: PMC5705050;manuscript-id: NIHMS919249;,28494241,28494241,28494241,2016/12/02 00:002017/03/14 00:002017/04/24 00:002017/05/12 06:002017/05/12 06:002017/12/19 06:00,2017/12/19 06:00,2017/05/12 06:00,"",1,10,Cell host & microbe,doi: 10.1016/j.chom.2017.04.010,2017 May 10;21(5):603-610.e3
28484095,2017 Jul 25,"",Oncotarget,Zhou YJZhao DDLiu HChen HTLi JJMu XQLiu ZLi XTang LZhao ZYWu JHCai YXHuang YZWang PGJia YYLiang PQPeng XChen SYYue ZLYuan XYLu TYao BQLi YGLiu GRLiu SL,Zhou YJ,Liu SL,Cancer killers in the human gut microbiota: diverse phylogeny and broad spectra.,8,30,49574-49591,English,English,101532965,"",1949-2553,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,284840951731910.18632/oncotarget.17319PMC55647892848409528484095pmc-id: PMC5564789;,28484095,28484095,28484095,2016/12/12 00:002017/04/02 00:002017/05/10 06:002018/04/24 06:002017/05/10 06:00,2018/04/24 06:00,2017/05/10 06:00,"",1,0,Oncotarget,doi: 10.18632/oncotarget.17319,2017 Jul 25;8(30):49574-49591
28479399,2017 Jul,2017 May 4,Fish Shellfish Immunol,Udayangani RMCDananjaya SHSNikapitiya CHeo GJLee JDe Zoysa M,Udayangani RMC,De Zoysa M,Metagenomics analysis of gut microbiota and immune modulation in zebrafish (Danio rerio) fed chitosan silver nanocomposites.,66,"",173-184,English,English,9505220,1050-4648,1095-9947,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28479399S1050-4648(17)30252-810.1016/j.fsi.2017.05.0182847939928479399,28479399,28479399,28479399,2017/01/21 00:002017/04/21 00:002017/05/03 00:002017/05/10 06:002017/12/13 06:002017/05/09 06:00,2017/12/13 06:00,2017/05/09 06:00,"",1,0,Fish & shellfish immunology,doi: 10.1016/j.fsi.2017.05.018,2017 Jul;66:173-184
28464793,2017 May 2,2017 May 2,BMC Bioinformatics,Broeksema BCalusinska MMcGee FWinter KBongiovanni FGoux XWilmes PDelfosse PGhoniem M,Broeksema B,Ghoniem M,ICoVeR - an interactive visualization tool for verification and refinement of metagenomic bins.,18,1,233,English,English,100965194,"",1471-2105,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2846479310.1186/s12859-017-1653-510.1186/s12859-017-1653-5PMC54143442846479328464793pmc-id: PMC5414344;,28464793,28464793,28464793,2016/11/09 00:002017/04/26 00:002017/05/04 06:002017/05/04 06:002017/09/13 06:00,2017/09/13 06:00,2017/05/04 06:00,"",1,1,BMC bioinformatics,doi: 10.1186/s12859-017-1653-5,2017 May 2;18(1):233
28449715,2017 Apr 28,2017 Apr 28,Genome Med,Bedarf JRHildebrand FCoelho LPSunagawa SBahram MGoeser FBork PWüllner U,Bedarf JR,Wüllner U,Functional implications of microbial and viral gut metagenome changes in early stage L-DOPA-naïve Parkinson's disease patients.,9,1,39,English,English,101475844,"",1756-994X,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2844971510.1186/s13073-017-0428-y10.1186/s13073-017-0428-yPMC54083702844971528449715pmc-id: PMC5408370;,28449715,28449715,28449715,2016/11/15 00:002017/04/08 00:002017/04/29 06:002017/04/30 06:002017/09/02 06:00,2017/09/02 06:00,2017/04/29 06:00,Genome Med. 2017 Jun 29;9(1):61. PMID: 28662719,1,13,Genome medicine,doi: 10.1186/s13073-017-0428-y,2017 Apr 28;9(1):39
28440278,2017 Apr 25,2017 Apr 25,Nat Microbiol,Wexler AGGoodman AL,Wexler AG,Goodman AL,An insider's perspective: Bacteroides as a window into the microbiome.,2,"",17026,English,English,101674869,"",2058-5276,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,epublish,28440278nmicrobiol20172610.1038/nmicrobiol.2017.26PMC5679392NIHMS9138782844027828440278pmc-id: PMC5679392;manuscript-id: NIHMS913878;,28440278,28440278,28440278,2016/09/20 00:002017/01/31 00:002017/04/26 06:002017/04/26 06:002018/06/06 06:00,2018/06/06 06:00,2017/04/26 06:00,"",1,6,Nature microbiology,doi: 10.1038/nmicrobiol.2017.26,2017 Apr 25;2:17026
28429164,2017 Sep,2017 Apr 20,Eur J Clin Microbiol Infect Dis,Otto CCChen LHHe TTang YWBabady NE,Otto CC,Babady NE,Detection of gastrointestinal pathogens in oncology patients by highly multiplexed molecular panels.,36,9,1665-1672,English,English,8804297,0934-9723,1435-4373,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2842916410.1007/s10096-017-2981-010.1007/s10096-017-2981-0PMC5650546NIHMS8702272842916428429164pmc-id: PMC5650546;manuscript-id: NIHMS870227;,28429164,28429164,28429164,2017/02/02 00:002017/04/04 00:002017/04/22 06:002018/07/06 06:002017/04/22 06:00,2018/07/06 06:00,2017/04/22 06:00,"",1,2,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,doi: 10.1007/s10096-017-2981-0,2017 Sep;36(9):1665-1672
28415628,2017 Jul 25,"",Oncotarget,Yang YChen GYang QYe JCai XTsering PCheng XHu CZhang SCao P,Yang Y,Cao P,Gut microbiota drives the attenuation of dextran sulphate sodium-induced colitis by Huangqin decoction.,8,30,48863-48874,English,English,101532965,"",1949-2553,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,284156281645810.18632/oncotarget.16458PMC55647312841562828415628pmc-id: PMC5564731;,28415628,28415628,28415628,2017/01/10 00:002017/03/14 00:002017/04/19 06:002018/04/24 06:002017/04/19 06:00,2018/04/24 06:00,2017/04/19 06:00,"",1,4,Oncotarget,doi: 10.18632/oncotarget.16458,2017 Jul 25;8(30):48863-48874
28398290,2017 Apr 11,2017 Apr 11,Sci Data,Hahn ASAltman TKonwar KMHanson NWKim DRelman DADill DLHallam SJ,Hahn AS,Hallam SJ,A geographically-diverse collection of 418 human gut microbiome pathway genome databases.,4,"",170035,English,English,101640192,"",2052-4463,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,28398290sdata20173510.1038/sdata.2017.35PMC53879272839829028398290pmc-id: PMC5387927;,28398290,28398290,28398290,2016/08/03 00:002017/02/10 00:002017/04/12 06:002017/04/12 06:002018/02/24 06:00,2018/02/24 06:00,2017/04/12 06:00,"",1,0,Scientific data,doi: 10.1038/sdata.2017.35,2017 Apr 11;4:170035
28390576,2017 Apr,"",J Allergy Clin Immunol,Buttó LFHaller D,Buttó LF,Haller D,Functional relevance of microbiome signatures: The correlation era requires tools for consolidation.,139,4,1092-1098,English,English,1275002,0091-6749,1097-6825,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,ppublish,28390576S0091-6749(17)30332-910.1016/j.jaci.2017.02.0102839057628390576,28390576,28390576,28390576,2017/01/06 00:002017/02/17 00:002017/02/22 00:002017/04/10 06:002017/04/10 06:002017/07/25 06:00,2017/07/25 06:00,2017/04/10 06:00,"",1,2,The Journal of allergy and clinical immunology,doi: 10.1016/j.jaci.2017.02.010,2017 Apr;139(4):1092-1098
28390093,2018 Jan,2017 May 24,J Diabetes Investig,Aw WFukuda S,Aw W,Fukuda S,Understanding the role of the gut ecosystem in diabetes mellitus.,9,1,5-12,English,English,101520702,2040-1116,2040-1124,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2839009310.1111/jdi.12673PMC57545182839009328390093pmc-id: PMC5754518;,28390093,28390093,28390093,2016/10/16 00:002017/02/23 00:002017/04/05 00:002017/04/09 06:002018/08/16 06:002017/04/09 06:00,2018/08/16 06:00,2017/04/09 06:00,"",1,3,Journal of diabetes investigation,doi: 10.1111/jdi.12673,2018 Jan;9(1):5-12
28379433,2017 Nov 1,"",Nephrol Dial Transplant,Nazzal LRoberts JSingh PJhawar SMatalon AGao ZHolzman RLiebes LBlaser MJLowenstein J,Nazzal L,Lowenstein J,"Microbiome perturbation by oral vancomycin reduces plasma concentration of two gut-derived uremic solutes, indoxyl sulfate and p-cresyl sulfate, in end-stage renal disease.",32,11,1809-1817,English,English,8706402,0931-0509,1460-2385,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28379433309676010.1093/ndt/gfx0292837943328379433,28379433,28379433,28379433,2016/09/29 00:002017/01/28 00:002017/04/06 06:002018/05/19 06:002017/04/06 06:00,2018/05/19 06:00,2017/04/06 06:00,"",1,4,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",doi: 10.1093/ndt/gfx029,2017 Nov 1;32(11):1809-1817
28369659,2017 Jun 1,"",Toxicol Sci,Gao BBian XChi LTu PRu HLu K,Gao B,Lu K,"Editor's Highlight: OrganophosphateDiazinon Altered Quorum Sensing, Cell Motility, Stress Response, and Carbohydrate Metabolism of Gut Microbiome.",157,2,354-364,English,English,9805461,1096-6080,1096-0929,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28369659309124110.1093/toxsci/kfx053PMC54587882836965928369659pmc-id: PMC5458788;,28369659,28369659,28369659,2017/04/04 06:002018/03/13 06:002017/04/04 06:00,2018/03/13 06:00,2017/04/04 06:00,"",1,2,Toxicological sciences : an official journal of the Society of Toxicology,doi: 10.1093/toxsci/kfx053,2017 Jun 1;157(2):354-364
28338745,2017 Jun 1,"",DNA Res,Takayasu LSuda WTakanashi KIioka EKurokawa RShindo CHattori YYamashita NNishijima SOshima KHattori M,Takayasu L,Hattori M,Circadian oscillations of microbial and functional composition in the human salivary microbiome.,24,3,261-270,English,English,9423827,1340-2838,1756-1663,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28338745305223610.1093/dnares/dsx001PMC54998062833874528338745pmc-id: PMC5499806;,28338745,28338745,28338745,2016/12/31 00:002017/01/20 00:002017/03/25 06:002017/08/08 06:002017/03/25 06:00,2017/08/08 06:00,2017/03/25 06:00,"",1,3,DNA research : an international journal for rapid publication of reports on genes and genomes,doi: 10.1093/dnares/dsx001,2017 Jun 1;24(3):261-270
28334267,2017 Jul 15,"",Bioinformatics,Yarygin KSKovarsky BABibikova TSMelnikov DSTyakht AVAlexeev DG,Yarygin KS,Alexeev DG,ResistoMap-online visualization of human gut microbiota antibiotic resistome.,33,14,2205-2206,English,English,9808944,1367-4803,1367-4811,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,28334267306986010.1093/bioinformatics/btx134PMC58707222833426728334267pmc-id: PMC5870722;,28334267,28334267,28334267,2016/09/27 00:002017/03/13 00:002017/03/24 06:002018/05/15 06:002017/03/24 06:00,2018/05/15 06:00,2017/03/24 06:00,"",1,3,"Bioinformatics (Oxford, England)",doi: 10.1093/bioinformatics/btx134,2017 Jul 15;33(14):2205-2206
28330508,2017 Mar 23,2017 Mar 23,Microbiome,Bradley PHPollard KS,Bradley PH,Pollard KS,Proteobacteria explain significant functional variability in the human gut microbiome.,5,1,36,English,English,101615147,"",2049-2618,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2833050810.1186/s40168-017-0244-z10.1186/s40168-017-0244-zPMC53630072833050828330508pmc-id: PMC5363007;,28330508,28330508,28330508,2016/11/02 00:002017/02/13 00:002017/03/24 06:002017/03/24 06:002017/06/27 06:00,2017/06/27 06:00,2017/03/24 06:00,"",1,14,Microbiome,doi: 10.1186/s40168-017-0244-z,2017 Mar 23;5(1):36
28323391,2018 Oct,2017 Jun 9,Insect Sci,Martinez-Sañudo ISimonato MSquartini AMori NMarri LMazzon L,Martinez-Sañudo I,Mazzon L,Metagenomic analysis reveals changes of the Drosophila suzukii microbiota in the newly colonized regions.,25,5,833-846,English,English,101266965,1672-9609,1744-7917,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2832339110.1111/1744-7917.124582832339128323391,28323391,28323391,28323391,2016/10/05 00:002017/01/10 00:002017/01/18 00:002017/03/23 06:002018/10/27 06:002017/03/22 06:00,2018/10/27 06:00,2017/03/22 06:00,"",1,1,Insect science,doi: 10.1111/1744-7917.12458,2018 Oct;25(5):833-846
28320307,2017 Mar 20,2017 Mar 20,BMC Genomics,Schokker DJansman AJVeninga Gde Bruin NVastenhouw SAde Bree FMBossers ARebel JMSmits MA,Schokker D,Smits MA,Perturbation of microbiota in one-day old broiler chickens with antibiotic for 24 hours negatively affects intestinal immune development.,18,1,241,English,English,100965258,"",1471-2164,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2832030710.1186/s12864-017-3625-610.1186/s12864-017-3625-6PMC53599562832030728320307pmc-id: PMC5359956;,28320307,28320307,28320307,2016/03/17 00:002017/03/14 00:002017/03/22 06:002017/03/23 06:002017/09/12 06:00,2017/09/12 06:00,2017/03/22 06:00,"",1,3,BMC genomics,doi: 10.1186/s12864-017-3625-6,2017 Mar 20;18(1):241
28293710,2017 Apr,2017 Mar 14,Appl Microbiol Biotechnol,Xiao MYang JFeng YZhu YChai XWang Y,Xiao M,Wang Y,Metaproteomic strategies and applications for gut microbial research.,101,8,3077-3088,English,English,8406612,0175-7598,1432-0614,Journal ArticleReview,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2829371010.1007/s00253-017-8215-710.1007/s00253-017-8215-72829371028293710,28293710,28293710,28293710,2017/01/15 00:002017/03/04 00:002017/02/28 00:002017/03/16 06:002017/04/26 06:002017/03/16 06:00,2017/04/26 06:00,2017/03/16 06:00,"",1,2,Applied microbiology and biotechnology,doi: 10.1007/s00253-017-8215-7,2017 Apr;101(8):3077-3088
28279152,2017 Mar 9,2017 Mar 9,BMC Microbiol,Burke DGFouhy FHarrison MJRea MCCotter PDO'Sullivan OStanton CHill CShanahan FPlant BJRoss RP,Burke DG,Ross RP,The altered gut microbiota in adults with cystic fibrosis.,17,1,58,English,English,100966981,"",1471-2180,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2827915210.1186/s12866-017-0968-810.1186/s12866-017-0968-8PMC53451542827915228279152pmc-id: PMC5345154;,28279152,28279152,28279152,2016/04/27 00:002017/03/03 00:002017/03/11 06:002017/03/11 06:002017/09/01 06:00,2017/09/01 06:00,2017/03/11 06:00,BMC Microbiol. 2017 Apr 27;17 (1):102. PMID: 28449644,1,6,BMC microbiology,doi: 10.1186/s12866-017-0968-8,2017 Mar 9;17(1):58
28255158,2017 Mar 3,2017 Mar 3,Sci Rep,Jandhyala SMMadhulika ADeepika GRao GVReddy DNSubramanyam CSasikala MTalukdar R,Jandhyala SM,Talukdar R,Altered intestinal microbiota in patients with chronic pancreatitis: implications in diabetes and metabolic abnormalities.,7,"",43640,English,English,101563288,"",2045-2322,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,28255158srep4364010.1038/srep43640PMC53346482825515828255158pmc-id: PMC5334648;,28255158,28255158,28255158,2016/10/12 00:002017/01/26 00:002017/03/04 06:002017/03/04 06:002018/11/09 06:00,2018/11/09 06:00,2017/03/04 06:00,"",1,4,Scientific reports,doi: 10.1038/srep43640,2017 Mar 3;7:43640
28252037,2017 Mar 2,2017 Mar 2,Sci Rep,Aoki RKamikado KSuda WTakii HMikami YSuganuma NHattori MKoga Y,Aoki R,Koga Y,A proliferative probiotic Bifidobacterium strain in the gut ameliorates progression of metabolic disorders via microbiota modulation and acetate elevation.,7,"",43522,English,English,101563288,"",2045-2322,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,28252037srep4352210.1038/srep43522PMC53331602825203728252037pmc-id: PMC5333160;,28252037,28252037,28252037,2016/07/28 00:002017/01/26 00:002017/03/03 06:002017/03/03 06:002018/11/06 06:00,2018/11/06 06:00,2017/03/03 06:00,"",1,5,Scientific reports,doi: 10.1038/srep43522,2017 Mar 2;7:43522
